Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2025-01-01 03:00:00-06:00,2025-01-01 03:00:00-06:00,2025-01-01 03:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.75
2025-01-01 03:00:00-06:00,2025-01-01 03:00:00-06:00,2025-01-01 03:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.75
2025-01-01 03:15:00-06:00,2025-01-01 03:15:00-06:00,2025-01-01 03:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,17.34
2025-01-01 03:15:00-06:00,2025-01-01 03:15:00-06:00,2025-01-01 03:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.34
2025-01-01 03:15:00-06:00,2025-01-01 03:15:00-06:00,2025-01-01 03:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.34
2025-01-01 03:30:00-06:00,2025-01-01 03:30:00-06:00,2025-01-01 03:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.51
2025-01-01 03:30:00-06:00,2025-01-01 03:30:00-06:00,2025-01-01 03:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.51
2025-01-01 03:30:00-06:00,2025-01-01 03:30:00-06:00,2025-01-01 03:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,17.5
2025-01-01 03:45:00-06:00,2025-01-01 03:45:00-06:00,2025-01-01 04:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,16.96
2025-01-01 03:45:00-06:00,2025-01-01 03:45:00-06:00,2025-01-01 04:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,16.96
2025-01-01 03:45:00-06:00,2025-01-01 03:45:00-06:00,2025-01-01 04:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,16.95
2025-01-01 04:00:00-06:00,2025-01-01 04:00:00-06:00,2025-01-01 04:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,17.08
2025-01-01 04:00:00-06:00,2025-01-01 04:00:00-06:00,2025-01-01 04:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.1
2025-01-01 04:00:00-06:00,2025-01-01 04:00:00-06:00,2025-01-01 04:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.1
2025-01-01 04:15:00-06:00,2025-01-01 04:15:00-06:00,2025-01-01 04:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,17.71
2025-01-01 04:15:00-06:00,2025-01-01 04:15:00-06:00,2025-01-01 04:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.72
2025-01-01 04:15:00-06:00,2025-01-01 04:15:00-06:00,2025-01-01 04:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,17.72
2025-01-01 04:30:00-06:00,2025-01-01 04:30:00-06:00,2025-01-01 04:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,20.24
2025-01-01 04:30:00-06:00,2025-01-01 04:30:00-06:00,2025-01-01 04:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.25
2025-01-01 04:30:00-06:00,2025-01-01 04:30:00-06:00,2025-01-01 04:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.25
2025-01-01 04:45:00-06:00,2025-01-01 04:45:00-06:00,2025-01-01 05:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,21.02
2025-01-01 04:45:00-06:00,2025-01-01 04:45:00-06:00,2025-01-01 05:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,21.02
2025-01-01 04:45:00-06:00,2025-01-01 04:45:00-06:00,2025-01-01 05:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,21.01
2025-01-01 05:00:00-06:00,2025-01-01 05:00:00-06:00,2025-01-01 05:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,20.5
2025-01-01 05:00:00-06:00,2025-01-01 05:00:00-06:00,2025-01-01 05:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.52
2025-01-01 05:00:00-06:00,2025-01-01 05:00:00-06:00,2025-01-01 05:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.52
2025-01-01 05:15:00-06:00,2025-01-01 05:15:00-06:00,2025-01-01 05:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,20.6
2025-01-01 05:15:00-06:00,2025-01-01 05:15:00-06:00,2025-01-01 05:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.62
